iso,compare,base,abs_diff,rel_pct,table,part,sign
MAR,3508.2998059,46520.03,43011.7301941,1226.0,4,A,base>compare
SLV,5702.187623708226,48494.44,42792.25237629178,750.5,4,A,base>compare
KGZ,1721.3409250051002,44417.03,42695.6890749949,2480.4,4,A,base>compare
NPL,953.8109234405396,43637.3,42683.48907655946,4475.0,4,A,base>compare
FJI,4323.300789017888,46132.77,41809.46921098211,967.1,4,A,base>compare
NIC,3030.36334272447,44681.67,41651.30665727553,1374.5,4,A,base>compare
ALB,6101.607657631343,47560.36,41458.75234236866,679.5,4,A,base>compare
BGD,1164.5960765746072,41705.91,40541.3139234254,3481.1,4,A,base>compare
MOZ,669.5233823729544,40501.96,39832.43661762704,5949.4,4,A,base>compare
SRB,8517.043224698833,48141.14,39624.096775301165,465.2,4,A,base>compare
PRY,3900.787361183272,43106.16,39205.372638816734,1005.1,4,A,base>compare
PNG,1866.0458838473264,40991.73,39125.684116152675,2096.7,4,A,base>compare
NGA,1749.651331784752,40468.29,38718.63866821525,2212.9,4,A,base>compare
IND,2208.587225579888,40865.34,38656.75277442011,1750.3,4,A,base>compare
BFA,1013.540869662508,39366.21,38352.66913033749,3784.0,4,A,base>compare
GUY,2536.380977609428,40208.75,37672.36902239057,1485.3,4,A,base>compare
LSO,1207.008898584966,38158.86,36951.851101415035,3061.4,4,A,base>compare
JAM,7082.60666043894,43223.62,36141.01333956106,510.3,4,A,base>compare
IRQ,2989.673350782139,38677.88,35688.20664921786,1193.7,4,A,base>compare
RUS,11852.805937644778,47174.03,35321.22406235522,298.0,4,A,base>compare
TJK,1500.2815325237495,36546.71,35046.42846747625,2336.0,4,A,base>compare
CHL,12801.644636338224,47469.83,34668.185363661774,270.8,4,A,base>compare
TUN,7182.365624867766,41847.47,34665.104375132236,482.6,4,A,base>compare
STP,1416.4898813200923,35299.44,33882.95011867991,2392.0,4,A,base>compare
COL,7304.555744082399,40515.67,33211.1142559176,454.7,4,A,base>compare
IDN,3102.283770024962,35489.44,32387.15622997504,1044.0,4,A,base>compare
DJI,1840.238176813878,33294.85,31454.611823186122,1709.3,4,A,base>compare
AZE,4496.143936216547,35549.59,31053.44606378345,690.7,4,A,base>compare
TGO,858.2173261499387,31859.72,31001.502673850064,3612.3,4,A,base>compare
COG,3381.1883226402365,34369.53,30988.341677359764,916.5,4,A,base>compare
UZB,2000.9655053267388,32436.05,30435.08449467326,1521.0,4,A,base>compare
KNA,15703.620994899533,45459.16,29755.539005100472,189.5,4,A,base>compare
DZA,7168.564543735682,36733.7,29565.135456264317,412.4,4,A,base>compare
ETH,636.0687043505732,30096.05,29459.981295649428,4631.6,4,A,base>compare
SLB,2072.775217052082,30673.43,28600.654782947917,1379.8,4,A,base>compare
EST,16547.901688553753,44793.95,28246.048311446244,170.7,4,A,base>compare
CPV,2627.662339650832,30573.47,27945.807660349168,1063.5,4,A,base>compare
LBR,345.7581698514826,28283.22,27937.461830148517,8080.1,4,A,base>compare
CMR,1985.738586137456,29824.52,27838.781413862544,1401.9,4,A,base>compare
IRN,9228.23609471439,36585.85,27357.61390528561,296.5,4,A,base>compare
AGO,3354.650957543285,30133.59,26778.939042456714,798.3,4,A,base>compare
NAM,5205.412196050876,31853.49,26648.077803949127,511.9,4,A,base>compare
NER,609.8370777163567,27197.44,26587.60292228364,4359.8,4,A,base>compare
GIN,970.882886396099,27363.46,26392.5771136039,2718.4,4,A,base>compare
LBN,9595.29094517469,35805.62,26210.329054825314,273.2,4,A,base>compare
MEX,12191.063819347144,37899.78,25708.716180652853,210.9,4,A,base>compare
BEN,1349.137385480034,26475.44,25126.302614519966,1862.4,4,A,base>compare
THA,6674.74021925099,31799.14,25124.39978074901,376.4,4,A,base>compare
MLI,884.5543709465712,25674.25,24789.69562905343,2802.5,4,A,base>compare
VEN,9924.462109242815,34701.42,24776.957890757185,249.7,4,A,base>compare
LBY,14015.36563312623,38662.88,24647.514366873766,175.9,4,A,base>compare
SLE,646.9881237477155,25113.8,24466.811876252283,3781.6,4,A,base>compare
KHM,1508.008396956952,25954.6,24446.591603043045,1621.1,4,A,base>compare
BIH,6340.872300879609,30786.72,24445.847699120393,385.5,4,A,base>compare
MLT,21018.535853647176,45424.54,24406.004146352825,116.1,4,A,base>compare
CZE,21264.44122389693,45511.36,24246.91877610307,114.0,4,A,base>compare
UKR,5583.39917463991,29749.2,24165.800825360093,432.8,4,A,base>compare
SDN,1562.2739402,24727.91,23165.6360598,1482.8,4,A,base>compare
TON,4221.015684462499,27020.85,22799.8343155375,540.2,4,A,base>compare
PHL,3050.8266937410226,25781.99,22731.16330625898,745.1,4,A,base>compare
WSM,3831.106528369388,26180.14,22349.03347163061,583.4,4,A,base>compare
LAO,1695.3119740624495,23874.64,22179.32802593755,1308.3,4,A,base>compare
ECU,6510.394445648942,27562.16,21051.76555435106,323.4,4,A,base>compare
BHR,28068.47167912529,48510.54,20442.06832087471,72.8,4,A,base>compare
MYS,12011.223444105915,32002.32,19991.096555894084,166.4,4,A,base>compare
DOM,6380.369073667566,26243.37,19863.000926332432,311.3,4,A,base>compare
BTN,3480.179809376663,21881.28,18401.100190623336,528.7,4,A,base>compare
AFG,688.2150537400122,19039.74,18351.52494625999,2666.5,4,A,base>compare
TZA,1070.1325974,18705.27,17635.1374026,1647.9,4,A,base>compare
VNM,2161.2724042253435,19643.4,17482.12759577466,808.9,4,A,base>compare
GRC,24348.40224336157,41522.51,17174.107756638434,70.5,4,A,base>compare
ZAF,8596.830871440385,25382.61,16785.779128559618,195.3,4,A,base>compare
GEO,3610.651556622972,19739.53,16128.878443377027,446.7,4,A,base>compare
RWA,840.4746594769973,16498.55,15658.075340523003,1863.0,4,A,base>compare
GMB,1568.9215526243452,16603.85,15034.928447375652,958.3,4,A,base>compare
KEN,1346.3975187928677,15893.62,14547.222481207133,1080.5,4,A,base>compare
COM,1052.7704885529392,15578.38,14525.609511447059,1379.8,4,A,base>compare
KIR,2265.5517845753343,16596.57,14331.018215424665,632.6,4,A,base>compare
GNQ,24813.62470952421,38869.07,14055.445290475789,56.6,4,A,base>compare
KOR,22783.2700526441,36615.51,13832.239947355902,60.7,4,A,base>compare
BGR,9809.381210968935,23075.46,13266.078789031064,135.2,4,A,base>compare
