iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
SGP,Asia,Singapore,2021-10-08,103843,0,2278.71,113,0,5,18379.66,0,403.32,20,0,0.88,1.3,,,,,,,,,,,,,,,,,,9655227,4722480,4485268,400603,29480,26057,171.28,83.78,79.57,7.11,4622,2601,0.05,47.26,7915.73,42.4,12.92,7.05,85535.38,,92.24,10.99,5.2,28.3,,2.4,83.62,0.94,5637022,,,,
SXM,North America,Sint Maarten (Dutch part),2021-10-08,4291,0,16.14,66,0,0.71,101771.7,0,382.87,1565.35,0,16.94,,,,,,,,,,,,,,,,,,,50118,26059,24059,,,58,113.41,58.97,54.44,,1312,24,0.05,,1209.09,,,,36327.23,,,,,,,,78.95,,44192,,,,
SVK,Europe,Slovakia,2021-10-08,415993,0,1072.14,12668,0,10.29,76005.53,0,195.89,2314.55,0,1.88,1.27,180,31.9,813,144.06,,,,,42266859,42035,7758.77,7.72,35115,6.45,0.05,19.6,tests performed,,,,,,3449,,,,,611,1760,0.03,32.49,113.13,41.2,15.07,9.17,30155.15,0.7,287.96,7.29,23.1,37.7,,5.82,77.54,0.86,5643455,,,,
SVN,Europe,Slovenia,2021-10-08,296203,0,876.43,4960,0,7.71,140033.47,0,414.34,2344.9,0,3.65,1.01,114,53.78,413,194.83,,,,,1618636,4615,763.72,2.18,4182,1.97,0.19,5.2,tests performed,2133438,1173845,1072815,27194,9961,6375,100.64,55.37,50.61,1.28,3007,926,0.04,42.96,102.62,44.5,19.06,12.93,31400.84,,153.49,7.25,20.1,25,,4.5,81.32,0.92,2119843,,,,
SLB,Oceania,Solomon Islands,2021-10-08,20,0,0,0,0,0,25.61,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1601,,,,,2210,1352,0.19,27.78,21.84,20.8,3.51,2.04,2205.92,25.1,459.78,18.68,,,35.89,1.4,73,0.57,724272,,,,
SOM,Africa,Somalia,2021-10-08,19980,0,36.71,1111,0,1.14,1122.35,0,2.06,62.41,0,0.06,0.65,,,,,,,,,,,,,,,,,,,,,,,6886,,,,,391,5497,0.03,37.96,23.5,16.8,2.73,1.5,,,365.77,6.05,,,9.83,0.9,57.4,,17597508,,,,
ZAF,Africa,South Africa,2021-10-08,2905613,0,1376.71,87753,0,107.43,46580.42,0,22.07,1406.78,0,1.72,0.61,835,13.94,5637,94.12,,,,,17931034,32432,301.91,0.55,29029,0.49,0.03,31.9,people tested,18735127,13302682,9686443,,,158070,31.28,22.21,16.17,,2639,89581,0.15,48.15,46.75,27.3,5.34,3.05,12294.88,18.9,200.38,5.52,8.1,33.2,43.99,2.32,64.13,0.71,59893884,,,,
OWID_SAM,,South America,2021-10-08,37911866,0,24157.14,1157222,0,656.71,88066.2,0,56.12,2688.13,0,1.52,,,,,,,,,,,,,,,,,,,468583745,277622031,190877276,7750326,2583119,2344638,107.27,63.56,43.7,1.77,5368,691622,0.16,,,,,,,,,,,,,,,,436816679,,,,
KOR,Asia,South Korea,2021-10-08,319777,0,2317.71,2513,0,8.14,6175.39,0,44.76,48.53,0,0.16,0.86,377,7.28,,,,,,,30537449,158995,589.18,3.07,139737,2.7,0.01,70.3,people tested,69164868,39765892,30222369,4139,1144224,579235,133.48,76.74,58.33,0.01,11179,45627,0.09,43.98,527.97,43.4,13.91,8.62,35938.37,0.2,86,6.8,6.2,40.9,,12.27,83.03,0.92,51815808,,,,
SSD,Africa,South Sudan,2021-10-08,12035,0,14.14,130,0,0.29,1091.99,0,1.28,11.8,0,0.03,1.05,,,,,,,,,,,,,616,0.06,0.02,52,tests performed,113013,81061,31952,,,630,1.04,0.74,0.29,,58,502,0,46.29,,19.2,3.44,2.03,1569.89,,280.77,10.43,,,,,57.85,0.43,10913172,,,,
ESP,Europe,Spain,2021-10-08,4983586,0,1726.43,88425,0,27.43,104197.24,0,36.1,1848.8,0,0.57,0.9,530,11.14,1435,30.17,136,2.86,1166,24.52,60353462,81932,1270.95,1.72,86050,1.81,0.02,47.6,tests performed,,,,,,79620,,,,,1674,12415,0.03,43.98,93.1,45.5,19.44,13.8,34272.36,1,99.4,7.17,27.4,31.4,,2.97,83.56,0.9,47558632,,,,
LKA,Asia,Sri Lanka,2021-10-08,520432,0,974.71,13059,0,54.14,22791.02,0,42.68,571.89,0,2.37,0.78,,,,,,,,,5852022,11210,268.77,0.52,10027,0.46,0.09,11.4,tests performed,26791620,14668211,12123409,,108573,70504,122.72,67.19,55.53,,3229,20543,0.09,63.89,341.96,34.1,10.07,5.33,11669.08,0.7,197.09,10.68,0.3,27,,3.6,76.98,0.78,21832150,,,,
SDN,Africa,Sudan,2021-10-08,38345,0,20.57,2876,0,5,776.48,0,0.42,58.24,0,0.1,0.85,,,,,,,,,,,,,,,,,,,,,,,5151,,,,,110,16296,0.04,13.89,23.26,19.7,3.55,2.03,4466.51,,431.39,15.67,,,23.44,0.8,65.31,0.51,46874200,,,,
SUR,South America,Suriname,2021-10-08,41867,0,322.57,893,0,7.43,67183.59,0,517.63,1432.99,0,11.92,1.01,,,,,,,,,,,,,371,0.6,,,tests performed,414312,235849,178463,,1724,1551,67.04,38.16,28.88,,2510,820,0.13,58.33,3.61,29.6,6.93,4.23,13767.12,,258.31,12.54,7.4,42.9,67.78,3.1,71.68,0.74,618046,,,,
SWE,Europe,Sweden,2021-10-08,1154260,0,606.29,14893,0,5.14,110062.3,0,57.81,1420.09,0,0.49,1.04,33,3.13,234,22.18,,,,,12554215,19998,1199.4,1.91,20130,1.92,0.03,33.8,tests performed,,,,,,21275,,,,,2017,4807,0.05,15.99,24.72,41,19.98,13.43,46949.28,0.5,133.98,4.79,18.8,18.9,,2.22,82.8,0.94,10549349,,,,
CHE,Europe,Switzerland,2021-10-08,840651,0,1111.57,10714,0,5.57,95613.49,0,126.43,1218.58,0,0.63,0.89,150,17.16,415,47.48,,,181,20.71,10735014,50264,1235.13,5.78,32988,3.8,0.03,29.4,tests performed,10673115,5620763,,696,34076,23148,122.11,64.31,,0.01,2648,7718,0.09,50,214.24,43.1,18.44,12.64,57410.17,,99.74,5.59,22.6,28.9,,4.53,83.78,0.96,8740471,,,,
SYR,Asia,Syria,2021-10-08,34696,0,302.29,2265,0,9.57,1544.64,0,13.46,100.84,0,0.43,1.04,,,,,,,,,,,,,,,,,,,,,,,11663,,,,,527,7772,0.04,51.39,,21.7,,2.58,,,376.26,,,,70.6,1.5,72.7,0.57,22125242,,,,
TWN,Asia,Taiwan,2021-10-08,,,,,,,,,,,,,0.94,,,,,,,,,3587006,21336,150.34,0.89,20601,0.86,0,2943,people tested,17887465,13711680,4175785,,345874,230038,74.86,57.39,17.48,,9628,40986,0.17,49.07,,42.2,,8.35,,,103.96,,,,,,80.46,,23893396,,,,
TJK,Asia,Tajikistan,2021-10-08,17484,0,0,125,0,0,1717.11,0,0,12.28,0,0,0.01,,,,,,,,,,,,,,,,,,,,,,,27283,,,,,2741,8202,0.08,35.19,64.28,23.3,3.47,2.15,2896.91,4.8,427.7,7.11,,,72.7,4.8,71.1,0.67,9952789,,,,
TZA,Africa,Tanzania,2021-10-08,25957,0,15.86,723,0,0.57,401.12,0,0.24,11.17,0,0.01,0.13,,,,,,,,,,,,,,,,,,,,,,,16737,,,,,256,14452,0.02,13.89,64.7,17.7,3.11,1.87,2683.3,49.1,217.29,5.75,3.3,26.7,47.95,0.7,65.46,0.53,65497752,,,,
THA,Asia,Thailand,2021-10-08,1637432,0,10827.71,17014,0,106.57,22826.02,0,150.94,237.18,0,1.49,0.94,,,,,,,,,14162482,49633,197.8,0.69,46463,0.65,0.23,4.4,tests performed,58298700,34188488,22460213,1649999,911648,774704,81.31,47.68,31.33,2.3,10805,299496,0.42,55.09,135.13,40.1,11.37,6.89,16277.67,0.1,109.86,7.04,1.9,38.8,90.67,2.1,77.15,0.78,71697024,,,,
TLS,Asia,East Timor,2021-10-08,,,,,,,,,,,,,0.5,,,,,,,,,,,,,476,0.36,0.03,28.7,tests performed,,,,,,7076,,,,,5275,3873,0.29,46.3,87.18,18,3.56,1.9,6570.1,30.3,335.35,6.86,6.3,78.1,28.18,5.9,69.5,0.61,1341298,,,,
TGO,Africa,Togo,2021-10-08,25535,0,53.14,233,0,1.57,2809.21,0,5.85,25.63,0,0.17,0.64,,,,,,,,,524113,1336,60.63,0.16,1236,0.14,0.03,28.6,tests performed,1215025,805728,409297,,,12765,13.73,9.11,4.63,,1443,12141,0.14,38.89,143.37,19.4,2.84,1.52,1429.81,49.2,280.03,6.15,0.9,14.2,10.48,0.7,61.04,0.52,8848700,,,,
TKL,Oceania,Tokelau,2021-10-08,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,8980,0,0,,,,,,,,,,,,,,81.86,,1893,,,,
TON,Oceania,Tonga,2021-10-08,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,220,,,,,2059,128,0.12,43.52,150.03,22.3,5.82,4.03,5425.62,,227.49,15.42,11.8,44.4,,2.6,70.91,0.72,106867,,,,
TTO,North America,Trinidad and Tobago,2021-10-08,50903,0,173.57,1489,0,6.86,34027.84,0,116.03,995.37,0,4.58,1.03,,,,,,,,,359405,920,235.57,0.6,862,0.56,0.22,4.4,people tested,1129387,616133,536817,,7866,7020,73.77,40.24,35.06,,4585,2769,0.18,74.86,266.89,36.2,10.01,5.82,28763.07,,228.47,10.97,,,89.44,3,73.51,0.8,1531043,,,,
TUN,Africa,Tunisia,2021-10-08,707983,0,438.43,24921,0,27,58417.64,0,36.18,2056.3,0,2.23,0.63,,,,,,,,,2980098,,243.02,,6839,0.56,0.04,25.1,people tested,8381921,5233974,4014524,,37094,37124,67.84,42.36,32.49,,3005,21008,0.17,37.88,74.23,32.7,8,5.08,10849.3,2,318.99,8.52,1.1,65.8,78.69,2.3,76.7,0.74,12356116,,,,
TUR,Asia,Turkey,2021-10-08,7210916,0,28182.43,64309,0,217,82828.42,0,323.72,738.69,0,2.49,1.04,,,,,,,,,89114549,360115,1051.18,4.25,355533,4.19,0.08,12.2,tests performed,112037763,54427081,46030897,11579785,363453,301717,131.28,63.78,53.94,13.57,3535,69376,0.08,41.91,104.91,31.6,8.15,5.06,25129.34,0.2,171.28,12.13,14.1,41.1,,2.81,77.69,0.82,85341248,,,,
TKM,Asia,Turkmenistan,2021-10-08,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,19106,,,,,2971,7918,0.12,63.89,12.25,26.9,4.28,2.54,16389.02,,536.78,7.11,,,100,7.4,68.19,0.72,6430777,,,,
TCA,North America,Turks and Caicos Islands,2021-10-08,2859,0,4.14,23,0,0.14,62329.68,0,90.32,501.43,0,3.11,,,,,,,,,,,,,,,,,,,54417,28305,26112,,,97,119.01,61.9,57.11,,2121,41,0.09,,37.31,,,,,,,,,,,,80.22,,45726,,,,
TUV,Oceania,Tuvalu,2021-10-08,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,2647,0,0,,373.07,,,,3575.1,3.3,,27.25,,,,,67.57,,11335,,,,
UGA,Africa,Uganda,2021-10-08,124039,0,113.43,3164,0,2.29,2621.68,0,2.4,66.87,0,0.05,0.86,,,,,,,,,1723620,5535,37.59,0.12,3921,0.09,0.03,39.5,tests performed,,,,,,35473,,,,,751,35473,0.08,75.93,213.76,16.4,2.17,1.31,1697.71,41.6,213.33,2.5,3.4,16.7,21.22,0.5,63.37,0.54,47249588,,,,
UKR,Europe,Ukraine,2021-10-08,2417736,0,9229.43,54329,0,167,58899.11,0,224.84,1323.52,0,4.07,1.25,,,,,,,,,13164600,53211,302.42,1.22,41210,0.95,0.29,3.5,tests performed,13578790,7495411,6104059,,148735,100457,34.2,18.88,15.37,,2530,50135,0.13,56.98,77.39,41.4,16.46,11.13,7894.39,0.1,539.85,7.11,13.5,47.4,,8.8,72.06,0.78,39701744,,,,
ARE,Asia,United Arab Emirates,2021-10-08,736524,0,275.43,2100,0,1.57,71911.53,0,26.89,205.04,0,0.15,0.61,,,,,,,,,86360226,285453,9221.45,30.48,298713,31.9,0,1684.9,tests performed,20409126,9415793,8406958,2586375,44389,41092,216.17,99.73,89.05,27.39,4352,12705,0.14,39.35,112.44,34,1.14,0.53,67293.48,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,9441138,,,,
GBR,Europe,United Kingdom,2021-10-08,8058409,0,33612.29,164177,0,127.86,118194.34,0,493,2408.02,0,1.88,1.05,780,11.55,6647,98.46,,,5426,80.38,299542946,958815,4452.12,14.25,975757,14.5,0.04,28.5,tests performed,96369396,49133419,45136253,2099724,234681,215642,142.75,72.78,66.86,3.11,3194,33107,0.05,39.96,272.9,40.8,18.52,12.53,39753.24,0.2,122.14,4.28,20,24.7,,2.54,81.32,0.93,67508936,,,,
USA,North America,United States,2021-10-08,43340735,0,107955.43,702577,0,1856,126900.19,0,316.09,2057.12,0,5.43,0.88,17010,50.28,59461,175.77,,,50012,147.84,598482563,1793128,1775.92,5.32,1564160,4.64,0.06,16.9,tests performed,410828133,217277508,193206448,10134669,1169089,896099,123.74,65.44,58.19,3.05,2699,220949,0.07,52.25,35.61,38.3,15.41,9.73,54225.45,1.2,151.09,10.79,19.1,24.6,,2.77,78.86,0.93,338289856,,,,
VIR,North America,United States Virgin Islands,2021-10-08,6786,0,22.14,71,0,0.29,78431.83,0,255.92,820.61,0,3.3,,,,,,,,,,89565,219,894.84,2.19,136,1.36,0.1,10.1,tests performed,,,,,,,,,,,,,,,306.48,42.2,18.6,10.8,,,273.67,12.26,,,,,80.58,,99479,,,,
OWID_UMC,,Upper-middle-income countries,2021-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3194714558,1660491674,1458097341,18644108,7077462,6382463,126.48,65.74,57.73,0.74,2527,3849104,0.15,,,,,,,,,,,,,,,,2525921300,,,,
OWID_UMC,,Upper-middle-income countries,2021-10-08,76413134,0,142843.14,2115563,0,3206.86,26970.05,0,50.42,746.69,0,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525921300,,,,
URY,South America,Uruguay,2021-10-08,389025,0,101.71,6056,0,0.71,114725.74,0,30,1785.95,0,0.21,1.05,,,,,,,,,3639297,7959,1062.18,2.32,7265,2.12,0.02,64.2,people tested,6445483,2712903,2617797,1114783,25043,17022,188.31,79.26,76.48,32.57,4973,935,0.03,55.56,19.75,35.6,14.66,10.36,20551.41,0.1,160.71,6.93,14,19.9,,2.8,77.91,0.82,3422796,,,,
UZB,Asia,Uzbekistan,2021-10-08,94295,0,460.29,627,0,3.43,2698.85,0,13.17,17.95,0,0.1,0.91,,,,,,,,,,,,,,,,,,,,,,,170502,,,,,4924,76887,0.22,45.37,76.13,28.2,4.47,2.87,6253.1,,724.42,7.57,1.3,24.7,,4,71.72,0.72,34627648,,,,
VUT,Oceania,Vanuatu,2021-10-08,3,0,0,0,0,0,9.58,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1523,,,,,4661,864,0.26,16.67,22.66,23.1,4.39,2.62,2921.91,13.2,546.3,12.02,2.8,34.5,25.21,,70.47,0.61,326744,,,,
VAT,Europe,Vatican,2021-10-08,26,0,0,0,0,0,50682.26,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.12,,808,,,,
VEN,South America,Venezuela,2021-10-08,370368,0,1359.86,4483,0,14.86,13127.56,0,48.2,158.9,0,0.53,1.04,,,,,,,,,,,,,,,,,,16127242,9926613,6190629,,,37490,56.98,35.07,21.87,,1325,17710,0.06,86.11,36.25,29,6.61,3.92,16745.02,,204.85,6.47,,,,0.8,72.06,0.71,28301700,,,,
VNM,Asia,Vietnam,2021-10-08,808578,0,7412.71,19715,0,161.57,8111.68,0,74.36,197.78,0,1.62,0.73,,,,,,,,,55416974,308169,568.57,3.16,295768,3.04,0.02,61,people tested,51968108,37725480,14242628,,,1187041,52.93,38.42,14.51,,12090,599012,0.61,64.35,308.13,32.6,7.15,4.72,6171.88,2,245.46,6,1,45.9,85.85,2.6,75.4,0.7,98186856,,,,
OWID_WLS,Europe,Wales,2021-10-08,,,,,,,,,,,,,,41,12.93,461,145.43,,,219,69.08,,,,,,,,,,4618686,2389900,2228786,,1405,2484,145.7,75.39,70.31,,784,1828,0.06,,,,,,,,,,,,,,,,3170000,,,,
WLF,Oceania,Wallis and Futuna,2021-10-08,453,0,0,7,0,0,39387.88,0,0,608.64,0,0,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,3708,30,0.26,,,,,,,,,,,,,,79.94,,11596,,,,
OWID_WRL,,World,2021-10-08,234688775,0,444403.29,4849957,0,7485.57,29375.57,0,55.62,607.06,0,0.94,0.94,,,,,,,,,,,,,,,,,,6505195440,3672878794,2751421437,49305199,29307435,24793669,81.57,46.05,34.5,0.62,3109,12821164,0.16,,58.04,30.9,8.7,5.36,15469.21,10,233.07,8.51,6.43,34.64,60.13,2.7,72.58,0.74,7975105024,,,,
YEM,Asia,Yemen,2021-10-08,9139,0,35.43,1734,0,7.43,239.1,0,0.93,45.36,0,0.19,0.89,,,,,,,,,,,,,,,,,,,,,,,4732,,,,,140,403,0,32.41,53.51,20.3,2.92,1.58,1479.15,18.8,495,5.35,7.6,29.2,49.54,0.7,66.12,0.47,33696612,,,,
ZMB,Africa,Zambia,2021-10-08,209142,0,44.71,3649,0,0.57,10377.74,0,2.22,181.06,0,0.03,0.71,,,,,,,,,2498126,5081,128.29,0.26,5016,0.26,0.01,174.7,tests performed,788042,,452842,,15720,6810,3.94,,2.26,,340,7624,0.04,25.93,23,17.7,2.48,1.54,3689.25,57.5,234.5,3.94,3.1,24.7,13.94,2,63.89,0.58,20017670,,,,
ZWE,Africa,Zimbabwe,2021-10-08,131094,0,227,4625,0,3.14,8158.16,0,14.13,287.82,0,0.2,0.74,,,,,,,,,1297528,3680,81.13,0.23,3393,0.21,0.03,35.1,tests performed,5543712,3157236,2386476,,28923,24053,33.97,19.35,14.62,,1474,9973,0.06,50,42.73,19.6,2.82,1.88,1899.78,21.4,307.85,1.82,1.6,30.7,36.79,1.7,61.49,0.57,16320539,,,,
