iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
CHN,Asia,China,2021-10-08,124805,0,44.29,5692,0,0.29,87.57,0,0.03,3.99,0,0,0.82,,,,,,,,,,,,,14769984,10.36,0,408654.1,tests performed,2218826000,,,,1263000,945714,155.61,,,,663,2002548,0.14,79.17,147.67,38.7,10.64,5.93,15308.71,0.7,261.9,9.74,1.9,48.4,,4.34,76.91,0.76,1425887360,,,,
COL,South America,Colombia,2021-10-08,4959144,0,1518.71,126336,0,38.29,95851.2,0,29.35,2441.84,0,0.74,0.97,,,,,,,,,25839693,51659,501.58,1,43083,0.84,0.04,26.3,tests performed,42634897,27722308,18308930,,285625,219586,82.19,53.44,35.29,,4233,122810,0.24,46.3,44.22,32.2,7.65,4.31,13254.95,4.5,124.24,7.44,4.7,13.5,65.39,1.71,77.29,0.77,51874028,,,,
COM,Africa,Comoros,2021-10-08,4155,0,5.43,147,0,0,4980.87,0,6.51,176.22,0,0,0.92,,,,,,,,,,,,,,,,,,,,,,,804,,,,,961,794,0.1,,437.35,20.4,2.96,1.73,1413.89,18.1,261.52,11.88,4.4,23.6,15.57,2.2,64.32,0.55,836783,,,,
COG,Africa,Congo,2021-10-08,14561,0,45.29,199,0,0.86,2412.72,0,7.5,32.97,0,0.14,0.85,,,,,,,,,,,,,,,,,,,,,,,3658,,,,,613,3353,0.06,36.11,15.4,19,3.4,2.06,4881.41,37,344.09,7.2,1.7,52.3,47.96,,64.57,0.57,5970430,,,,
COK,Oceania,Cook Islands,2021-10-08,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,1938,29,0.17,,,,,,,,,,,,,,76.25,,17032,,,,
CRI,North America,Costa Rica,2021-10-08,533873,0,1813,6413,0,32,105056.61,0,356.77,1261.96,0,6.3,0.84,,,,,,,,,1951822,7113,378.7,1.38,5967,1.16,0.2,5.1,people tested,,,,,,23155,,,,,4469,8355,0.16,52.17,96.08,33.6,9.47,5.69,15525,1.3,137.97,8.78,6.4,17.4,83.84,1.13,80.28,0.81,5180836,,,,
CIV,Africa,Cote d'Ivoire,2021-10-08,60376,0,85.43,636,0,6.14,1986.38,0,2.81,20.92,0,0.2,0.7,,,,,,,,,1039167,3293,37.82,0.12,2797,0.1,0.02,55,tests performed,,,,,,46404,,,,,1648,22782,0.08,17.59,76.4,18.7,2.93,1.58,3601.01,28.2,303.74,2.42,,,19.35,,57.78,0.54,28160548,,,,
HRV,Europe,Croatia,2021-10-08,407755,0,1243,8664,0,12,104364.41,0,318.14,2217.54,0,3.07,1.09,,,805,199.73,,,,,2894887,9816,713,2.42,8836,2.18,0.15,6.8,people tested,,,,,,5588,,,,,1386,3216,0.08,38.49,73.73,44,19.72,13.05,22669.8,0.7,253.78,5.59,34.3,39.9,,5.54,78.49,0.85,4030361,,,,
CUB,North America,Cuba,2021-10-08,887350,0,5693.71,7534,0,53,80231.86,0,514.81,681.2,0,4.79,0.7,,,,,,,,,,,,,,,,,,22667026,9613466,6117779,,314901,174696,202.16,85.74,54.56,,15581,19407,0.17,63.43,110.41,43.1,14.74,9.72,,,190.97,8.27,17.1,53.3,85.2,5.2,78.8,0.78,11212198,,,,
CUW,North America,Curacao,2021-10-08,16500,0,35.14,163,0,0.71,89020.29,0,189.6,879.41,0,3.85,,,,,,,,,,,,,,13,0.07,,,tests performed,188290,98374,89916,,,144,98.49,51.46,47.03,,753,68,0.04,,362.64,41.7,16.37,10.07,,,,11.62,,,,,78.88,,191173,,,,
